"","State","District","earliest_block_date","Age","Total_HHs_Mob","Total_SHGs","RF_Eligible","RF_Provided_Num","RF_Amt","CIF_Provided_Num","CIF_Amt","Total_CIS","state_code","district_code","censuscode"
"1","ARUNACHAL PRADESH","EAST KAMENG",2017-10-01,0.5,145,17,0,0,0,0,0,0,3,303,247
"2","ARUNACHAL PRADESH","EAST SIANG",2017-10-01,0.5,685,66,0,0,0,0,0,0,3,307,251
"3","ARUNACHAL PRADESH","LOHIT",2017-09-11,0.6,223,26,3,0,0,0,0,0,3,309,259
"4","ARUNACHAL PRADESH","LOWER DIBANG VALLEY",2016-10-06,1.5,853,85,62,46,6.9,11,5.6,12.5,3,314,258
"5","ARUNACHAL PRADESH","LOWER SUBANSIRI",2017-10-01,0.5,919,111,60,39,5.8,0,0,5.8,3,304,255
"6","ARUNACHAL PRADESH","PAPUM PARE",2016-09-15,1.6,832,107,64,41,6.2,0,0,6.2,3,312,248
"7","ARUNACHAL PRADESH","UPPER SIANG",2017-10-01,0.5,182,19,19,9,1.4,0,0,1.4,3,313,252
"8","ARUNACHAL PRADESH","UPPER SUBANSIRI",2016-10-01,1.5,748,86,57,52,7.8,0,0,7.8,3,305,249
"9","ARUNACHAL PRADESH","WEST SIANG",2017-10-01,0.5,1402,142,60,43,6.5,0,0,6.5,3,306,250
"10","ASSAM","BAKSA",2017-12-01,0.4,33031,3006,2012,1854,269.6,256,116.5,386.1,4,424,324
"11","ASSAM","BARPETA",2015-08-01,2.7,31831,3125,2658,2550,366.9,744,353.2,720.1,4,405,303
"12","ASSAM","BONGAIGAON",2017-12-01,0.4,29962,2660,2175,1858,265.2,734,320,585.2,4,403,319
"13","ASSAM","CACHAR",2017-12-01,0.4,19515,1707,1373,1254,180.6,245,122.5,303.1,4,423,316
"14","ASSAM","CHIRANG",2012-11-09,5.4,49699,4237,3732,3631,523.7,1213,606.5,1130.2,4,425,320
"15","ASSAM","DARRANG",2017-12-01,0.4,36739,3509,3035,2499,355.6,653,326.2,681.8,4,408,325
"16","ASSAM","DHEMAJI",2017-12-01,0.4,54349,5144,4173,3765,536,1034,517,1053,4,411,308
"17","ASSAM","DHUBRI",2017-12-01,0.4,14292,1390,1357,1066,159.4,250,125,284.4,4,401,301
"18","ASSAM","DIBRUGARH",2017-12-01,0.4,33553,2930,2711,2348,303.9,477,194.9,498.8,4,417,310
"19","ASSAM","DIMA HASAO(NORTH CACHAR HILLS)",2017-12-01,0.4,8854,857,807,682,96.3,323,161.5,257.8,4,420,315
"20","ASSAM","GOALPARA",2017-12-01,0.4,37144,3571,2502,2337,330.7,587,293.5,624.2,4,404,302
"21","ASSAM","GOLAGHAT",2017-12-01,0.4,52656,5096,3274,3088,391.5,1011,505.5,897,4,414,313
"22","ASSAM","HAILAKANDI",2017-12-01,0.4,27573,2418,2058,1836,272.6,296,148,420.6,4,422,318
"23","ASSAM","JORHAT",2017-12-01,0.4,47401,4391,4092,3806,483.1,1401,700.5,1183.6,4,415,312
"24","ASSAM","KAMRUP",2017-12-01,0.4,54464,5392,3958,3265,422.2,1631,774.6,1196.8,4,407,321
"25","ASSAM","KAMRUP-METRO",2015-08-07,2.7,22695,2350,2265,2206,313.6,831,387.5,701.1,4,426,322
"26","ASSAM","KARBI ANGLONG",2013-01-01,5.3,35541,3365,2789,2265,333.1,1194,596.8,929.9,4,419,314
"27","ASSAM","KARIMGANJ",2017-12-01,0.4,32855,2876,2577,2128,303.4,710,355,658.4,4,421,317
"28","ASSAM","KOKRAJHAR",2015-08-01,2.7,42335,3920,3591,3211,458.1,1388,433.8,891.9,4,402,300
"29","ASSAM","LAKHIMPUR",2017-12-01,0.4,35991,3433,3143,2710,365.2,963,481.5,846.7,4,410,307
"30","ASSAM","MORIGAON",2017-12-01,0.4,39864,3786,3083,2192,311.8,757,281,592.8,4,412,304
"31","ASSAM","NAGAON",2017-12-01,0.4,113685,10687,7872,7542,1098.4,3957,1978.5,3076.9,4,413,305
"32","ASSAM","NALBARI",2017-12-01,0.4,40613,3468,3853,2363,310.9,583,291.8,602.7,4,406,323
"33","ASSAM","SIVASAGAR",2017-12-01,0.4,30089,2780,1702,1541,176.1,167,83.5,259.6,4,416,311
"34","ASSAM","SONITPUR",2017-12-01,0.4,43023,4282,3500,2976,423.8,1286,596.5,1020.3,4,409,306
"35","ASSAM","TINSUKIA",2013-01-01,5.3,54922,5204,4602,4072,555.3,1586,593.2,1148.5,4,418,309
"36","ASSAM","UDALGURI",2015-09-01,2.6,56040,5192,3804,3149,436.9,959,479.8,916.7,4,427,326
"37","BIHAR","ARARIA",2014-06-28,3.8,187152,15768,8697,6606,987.9,4254,825.4,1813.3,5,541,209
"38","BIHAR","ARWAL",2014-02-15,4.1,78560,6624,4921,4135,620.2,2667,655,1275.2,5,551,240
"39","BIHAR","AURANAGABAD",2014-03-06,4.1,208070,17558,13123,7548,1128.6,7251,1611.2,2739.8,5,505,235
"40","BIHAR","BANKA",2013-11-01,4.4,180740,15688,9517,6934,1040.1,4227,848.1,1888.2,5,545,225
"41","BIHAR","BEGUSARAI",2013-10-03,4.5,232067,19430,15308,9982,1497.3,7153,1742.2,3239.5,5,517,222
"42","BIHAR","BHAGALPUR",2014-02-07,4.2,253129,21244,14603,10096,1512.3,7462,1407.6,2919.9,5,527,224
"43","BIHAR","BHOJPUR",2014-03-04,4.1,161223,13637,10691,7927,1186,5333,1423.8,2609.8,5,503,231
"44","BIHAR","BUXAR",2014-03-05,4.1,118641,10201,8154,4652,696.4,3321,675.5,1371.9,5,548,232
"45","BIHAR","DARBHANGA",2013-03-13,5.1,300749,26009,18588,16422,2461.8,11262,2124.4,4586.2,5,519,215
"46","BIHAR","GAYA",2013-09-01,4.6,447216,35083,29403,26908,4023.2,24872,10574.5,14597.7,5,507,236
"47","BIHAR","GOPALGANJ",2014-02-13,4.2,239627,20068,11643,4940,741,4853,1890.3,2631.3,5,511,217
"48","BIHAR","JAMUI",2013-01-02,5.3,166203,13819,11709,10120,1516.8,7586,2329.7,3846.5,5,550,238
"49","BIHAR","JEHANABAD",2014-02-15,4.1,104363,9115,7304,6629,991.2,2941,847.7,1838.9,5,506,239
"50","BIHAR","KAIMUR alias BHABUA",2014-01-01,4.3,135461,11443,6976,5389,808.2,2669,599.2,1407.4,5,549,233
"51","BIHAR","KATIHAR",2013-12-04,4.3,289750,24168,16910,14875,2204.1,8634,2924.6,5128.7,5,524,212
"52","BIHAR","KHAGARIA",2010-01-01,8.3,204896,16465,14821,12894,1933.9,11607,5095.1,7029,5,525,223
"53","BIHAR","KISHANGANJ",2014-02-28,4.1,118074,10140,6034,4504,675.3,4557,993.1,1668.4,5,542,210
"54","BIHAR","LAKHISARAI",2014-03-05,4.1,75129,6159,4720,4559,682.9,2882,664.8,1347.7,5,546,227
"55","BIHAR","MADHEPURA",2010-12-01,7.4,248425,20510,16922,14295,2144.2,11315,4388.6,6532.8,5,522,213
"56","BIHAR","MADHUBANI",2010-01-01,8.3,468129,38109,28459,15461,2300.2,13165,6720.6,9020.8,5,520,207
"57","BIHAR","MUNGER",2014-03-05,4.1,117765,9688,8338,7497,1124.5,7697,1762.1,2886.6,5,526,226
"58","BIHAR","MUZAFFARPUR",2007-04-03,11,514539,42129,34375,24823,3712.8,21972,10961.9,14674.7,5,515,216
"59","BIHAR","NALANDA",2008-05-02,9.9,291688,24798,23912,22102,3315.3,21468,8412.9,11728.2,5,502,229
"60","BIHAR","NAWADA",2012-10-03,5.5,223217,18602,14105,12529,1877.7,8282,1339.5,3217.2,5,508,237
"61","BIHAR","PASHCHIM CHAMPARAN",2013-02-15,5.1,353088,29554,19025,15310,2290.5,9486,3434.3,5724.8,5,512,203
"62","BIHAR","PATNA",2014-04-02,4,331768,27598,21969,18795,2772.8,18533,5215.6,7988.4,5,501,230
"63","BIHAR","PURBI CHAMPARAN",2012-10-03,5.5,469606,39728,22973,18400,2760,14539,5088.4,7848.4,5,513,204
"64","BIHAR","PURNIA",2007-10-02,10.5,343758,28293,22968,21116,3159.4,19072,8463.5,11622.9,5,523,211
"65","BIHAR","ROHTAS",2014-03-06,4.1,247028,21217,14314,10573,1585.7,6379,1893.2,3478.9,5,504,234
"66","BIHAR","SAHARSA",2014-03-06,4.1,217088,17705,13534,9743,1460,7006,1065.2,2525.2,5,521,214
"67","BIHAR","SAMASTIPUR",2014-03-01,4.1,431518,37290,23246,14113,2116.9,9703,3274.6,5391.5,5,518,221
"68","BIHAR","SARAN",2014-03-05,4.1,246269,20782,13033,7626,1142.1,4466,863.5,2005.6,5,509,219
"69","BIHAR","SHEIKHPURA",2014-03-05,4.1,53037,4521,3840,2451,367.6,1983,328.4,696,5,547,228
"70","BIHAR","SHEOHAR",2014-03-06,4.1,67171,5854,3821,3045,456.8,2064,452.9,909.7,5,543,205
"71","BIHAR","SITAMARHI",2012-10-03,5.5,265254,22253,14716,12619,1892.5,7990,1909.7,3802.2,5,514,206
"72","BIHAR","SIWAN",2014-02-01,4.2,211320,18026,9975,6632,988.2,3534,1084.3,2072.5,5,510,218
"73","BIHAR","SUPAUL",2014-06-04,3.8,241122,20637,15207,12150,1807.1,9317,3040.2,4847.3,5,544,208
"74","BIHAR","VAISHALI",2014-02-21,4.1,265021,20628,15275,10051,1507.7,5640,1576.1,3083.8,5,516,220
"75","CHHATTISGARH","BASTAR",2012-06-01,5.9,80049,6965,5173,4848,712.2,3475,2094.6,2806.8,33,3311,414
"76","CHHATTISGARH","BIJAPUR",2016-06-01,1.9,2865,284,177,161,24.1,81,51.3,75.4,33,3317,417
"77","CHHATTISGARH","BILASPUR",2016-10-01,1.5,7385,744,450,420,63,222,133.2,196.2,33,3301,406
"78","CHHATTISGARH","DANTEWADA",2015-05-01,2.9,13904,1276,825,595,89.2,446,284.5,373.7,33,3312,416
"79","CHHATTISGARH","DHAMTARI",2014-05-01,3.9,65867,5683,5043,3638,545.7,1303,826.8,1372.5,33,3309,412
"80","CHHATTISGARH","DURG",2016-10-01,1.5,9302,778,377,273,41,152,91.2,132.2,33,3303,409
"81","CHHATTISGARH","GARIYABAND",2012-06-01,5.9,63221,5833,4280,3248,487.2,1658,983.5,1470.7,33,3320,645
"82","CHHATTISGARH","JANJGIR-CHAMPA",2016-06-01,1.9,7623,756,301,252,37.8,43,25.8,63.6,33,3314,405
"83","CHHATTISGARH","JASHPUR",2016-06-01,1.9,10230,867,902,580,80.5,189,113.4,193.9,33,3307,402
"84","CHHATTISGARH","KANKER",2015-02-01,3.2,68507,6275,3721,3440,516,1534,917.3,1433.3,33,3310,413
"85","CHHATTISGARH","KAWARDHA",2016-06-01,1.9,15840,1143,584,415,62.2,240,144,206.2,33,3302,407
"86","CHHATTISGARH","KORBA",2016-10-01,1.5,29751,2548,1630,1108,166.2,313,189.6,355.8,33,3308,404
"87","CHHATTISGARH","KOREA",2016-10-01,1.5,25634,2370,994,697,104.5,404,242.4,346.9,33,3306,400
"88","CHHATTISGARH","MAHASAMUND",2016-10-01,1.5,7230,641,302,286,42.9,130,78,120.9,33,3315,411
"89","CHHATTISGARH","NARAYANPUR",2015-09-01,2.6,10584,1020,1332,478,71.7,161,96.6,168.3,33,3318,415
"90","CHHATTISGARH","RAIGARH",2015-10-10,2.5,12121,1072,539,263,39.5,197,127.7,167.2,33,3313,403
"91","CHHATTISGARH","RAIPUR",2013-08-01,4.7,89054,8286,5403,3912,585.9,1778,1115.5,1701.4,33,3316,410
"92","CHHATTISGARH","RAJNANDAGON",2015-05-01,2.9,145535,12682,11712,7481,1122,4636,2663.3,3785.3,33,3304,408
"93","CHHATTISGARH","SURGUJA",2013-08-01,4.7,121392,11231,8271,4539,680.7,710,441.4,1122.1,33,3305,401
"94","GUJARAT","AHMADABAD",2015-03-01,3.1,108673,7206,7214,6720,411,158,77.9,488.9,11,1112,474
"95","GUJARAT","AMRELI",2015-03-01,3.1,56627,5325,5332,4534,484.7,680,345,829.7,11,1105,480
"96","GUJARAT","ANAND",2015-03-01,3.1,62273,5869,3625,2106,265,823,329.9,594.9,11,1122,482
"97","GUJARAT","BANAS KANTHA",2015-03-01,3.1,116395,10453,6021,5156,486.9,822,411,897.9,11,1108,469
"98","GUJARAT","BHARUCH",2015-03-01,3.1,61651,6588,5146,4808,341.7,2,0.9,342.6,11,1116,488
"99","GUJARAT","BHAVNAGAR",2015-03-01,3.1,47820,4098,3648,3597,195.1,90,45,240.1,11,1104,481
"100","GUJARAT","DOHAD",2015-03-01,3.1,118790,9620,8199,7830,844.7,1439,718,1562.7,11,1123,485
"101","GUJARAT","GANDHINAGAR",2015-03-01,3.1,87600,5731,6381,5682,312,110,55,367,11,1111,473
"102","GUJARAT","JAMNAGAR",2015-03-01,3.1,88401,6152,5988,5866,314,673,305.1,619.1,11,1101,477
"103","GUJARAT","JUNAGADH",2015-03-01,3.1,77047,4815,5301,4917,259,153,76.5,335.5,11,1106,479
"104","GUJARAT","KACHCHH",2015-03-01,3.1,105171,8461,4547,3026,201.3,190,95,296.3,11,1107,468
"105","GUJARAT","KHEDA",2015-03-01,3.1,135551,12645,11761,11440,699.9,214,93.5,793.4,11,1113,483
"106","GUJARAT","MAHESANA",2015-03-01,3.1,84002,6783,5702,5152,345,482,241,586,11,1110,471
"107","GUJARAT","NARMADA",2015-03-01,3.1,56688,4245,3502,3159,297.8,490,184,481.8,11,1124,487
"108","GUJARAT","NAVSARI",2015-03-01,3.1,100881,8508,8512,8103,708.4,585,156.4,864.8,11,1125,490
"109","GUJARAT","PANCH MAHALS",2016-04-01,2,110631,7229,8453,6034,545.4,867,433.5,978.9,11,1114,484
"110","GUJARAT","PATAN",2015-03-01,3.1,96597,6361,7098,6806,483.3,636,346.5,829.8,11,1120,470
"111","GUJARAT","PORBANDAR",2015-03-01,3.1,12284,1343,598,519,40.5,86,43,83.5,11,1121,478
"112","GUJARAT","RAJKOT",2015-03-01,3.1,59756,4726,4694,4543,350.8,633,264.3,615.1,11,1102,476
"113","GUJARAT","SABAR KANTHA",2015-03-01,3.1,111220,6973,8561,8156,501.6,199,100.5,602.1,11,1109,472
"114","GUJARAT","SURAT",2015-03-01,3.1,140987,9616,9865,9645,648,649,325,973,11,1117,492
"115","GUJARAT","SURENDRANAGAR",2015-03-01,3.1,82616,7789,6803,6712,542.4,997,506.5,1048.9,11,1103,475
"116","GUJARAT","TAPI",2015-03-01,3.1,119860,9557,9623,8021,596.5,1194,402.1,998.6,11,1126,493
"117","GUJARAT","VADODARA",2016-04-01,2,95440,7208,6338,6306,330.4,31,14.6,345,11,1115,486
"118","GUJARAT","VALSAD",2015-03-01,3.1,123121,10972,9782,9010,614.9,844,337.8,952.7,11,1118,491
"119","HARYANA","AMBALA",2017-04-01,1,2664,257,190,133,13.7,0,0,13.7,12,1201,70
"120","HARYANA","BHIWANI",2016-06-03,1.8,17175,1608,1276,1067,133.1,393,185,318.1,12,1213,81
"121","HARYANA","FARIDABAD",2017-08-01,0.7,3531,315,197,49,5.4,0,0,5.4,12,1209,88
"122","HARYANA","FATEHABAD",2014-05-05,3.9,12052,1045,1094,822,90.8,69,34.5,125.3,12,1218,78
"123","HARYANA","GURGAON",2017-06-01,0.9,2498,213,15,15,1.5,0,0,1.5,12,1210,86
"124","HARYANA","HISAR",2018-01-01,0.3,5656,430,405,396,49.1,70,35,84.1,12,1215,80
"125","HARYANA","JHAJJAR",2017-05-01,0.9,14605,1280,907,765,94,166,79.3,173.3,12,1220,83
"126","HARYANA","JIND",2015-04-01,3,6385,538,433,282,28.9,0,0,28.9,12,1214,77
"127","HARYANA","KAITHAL",2016-04-01,2,17458,1355,1137,817,100.7,482,231.6,332.3,12,1204,73
"128","HARYANA","KARNAL",2015-04-01,3,17740,1537,1407,1073,118.8,467,172.9,291.7,12,1205,74
"129","HARYANA","KURUKSHETRA",2017-05-20,0.9,3575,413,228,209,22.3,2,3.7,26,12,1203,72
"130","HARYANA","MAHENDRAGARH",2017-10-01,0.5,1373,124,58,20,2.2,0,0,2.2,12,1212,84
"131","HARYANA","MEWAT",2016-06-01,1.9,19399,1855,966,826,97.9,287,190.8,288.7,12,1219,87
"132","HARYANA","PALWAL",2017-05-10,0.9,3924,378,188,110,11,0,0,11,12,1221,89
"133","HARYANA","PANCHKULA",2016-08-01,1.7,7536,686,578,519,58.9,119,52.6,111.5,12,1217,69
"134","HARYANA","PANIPAT",2017-07-01,0.8,3217,280,137,123,12.3,0,0,12.3,12,1206,75
"135","HARYANA","REWARI",2017-05-15,0.9,3361,296,164,94,9.4,0,0,9.4,12,1211,85
"136","HARYANA","ROHTAK",2017-05-01,0.9,7974,688,611,534,61.2,323,131.7,192.9,12,1208,82
"137","HARYANA","SIRSA",2016-08-26,1.6,1792,127,108,85,8.5,40,20,28.5,12,1216,79
"138","HARYANA","SONIPAT",2017-08-01,0.7,3070,238,173,138,14.4,0,0,14.4,12,1207,76
"139","HARYANA","YAMUNANAGAR",2017-04-01,1,4513,362,372,287,28.7,65,24.6,53.3,12,1202,71
"140","HIMACHAL PRADESH","BILASPUR",2016-04-01,2,3879,370,241,136,19.4,8,4,23.4,13,1301,30
"141","HIMACHAL PRADESH","CHAMBA",2016-04-01,2,1882,282,125,67,7.5,0,0,7.5,13,1302,23
"142","HIMACHAL PRADESH","HAMIRPUR",2016-04-01,2,4635,523,197,123,13.6,21,10.2,23.8,13,1303,28
"143","HIMACHAL PRADESH","KANGRA",2013-04-01,5,3282,369,320,205,28.4,17,4.2,32.6,13,1304,24
"144","HIMACHAL PRADESH","KINNAUR",2016-04-01,2,925,123,36,24,3.6,0,0,3.6,13,1305,34
"145","HIMACHAL PRADESH","KULLU",2016-04-01,2,3013,371,250,113,12.6,0,0,12.6,13,1306,26
"146","HIMACHAL PRADESH","LAHUL AND SPITI",2016-04-01,2,811,74,67,33,4.1,0,0,4.1,13,1307,25
"147","HIMACHAL PRADESH","MANDI",2013-04-01,5,7141,933,711,468,55.3,91,67.8,123.1,13,1308,27
"148","HIMACHAL PRADESH","SHIMLA",2013-04-01,5,3275,347,284,238,29.1,31,22.7,51.8,13,1309,33
"149","HIMACHAL PRADESH","SIRMAUR",2016-04-01,2,3893,402,201,156,16.4,0,0,16.4,13,1310,32
"150","HIMACHAL PRADESH","SOLAN",2013-04-01,5,3800,461,344,233,25.9,61,26.2,52.1,13,1311,31
"151","HIMACHAL PRADESH","UNA",2013-04-01,5,6425,577,415,413,56.8,86,57.2,114,13,1312,29
"152","JAMMU AND KASHMIR","ANANTNAG",2016-11-01,1.4,23841,2673,2441,2441,366.1,1670,668,1034.1,14,1406,14
"153","JAMMU AND KASHMIR","BARAMULLA",2016-11-01,1.4,21864,2328,1636,1530,229.5,1230,492,721.5,14,1402,8
"154","JAMMU AND KASHMIR","BUDGAM",2018-01-01,0.3,22090,2284,1850,1566,234.9,1336,534.4,769.3,14,1404,2
"155","JAMMU AND KASHMIR","DODA",2018-01-01,0.3,10191,1175,1127,976,146.1,909,363.6,509.7,14,1409,16
"156","JAMMU AND KASHMIR","GANDERBAL",2016-12-01,1.4,9727,1100,705,698,104.7,568,227.2,331.9,14,1420,11
"157","JAMMU AND KASHMIR","JAMMU",2017-01-01,1.3,28078,2715,2707,2266,339.9,1906,762.4,1102.3,14,1413,21
"158","JAMMU AND KASHMIR","KARGIL",2015-07-01,2.8,2525,228,228,180,27,103,41.2,68.2,14,1408,4
"159","JAMMU AND KASHMIR","KATHUA",2018-01-01,0.3,8986,919,720,714,107.1,709,283.6,390.7,14,1414,7
"160","JAMMU AND KASHMIR","KISHTWAR",2017-01-01,1.3,7097,743,759,611,91.7,535,214,305.7,14,1415,18
"161","JAMMU AND KASHMIR","KULGAM",2018-01-01,0.3,7147,897,355,308,46.2,159,63.6,109.8,14,1421,15
"162","JAMMU AND KASHMIR","KUPWARA",2016-11-01,1.4,20414,2313,2333,1795,269.2,1092,436.8,706,14,1401,1
"163","JAMMU AND KASHMIR","LEH",2015-07-01,2.8,2118,214,139,139,20.9,138,55.2,76.1,14,1407,3
"164","JAMMU AND KASHMIR","PULWAMA",2016-07-04,1.8,10325,960,566,551,82.7,346,138.4,221.1,14,1405,12
